,train_acc,valid_acc,test_acc,model,n_suprious
0,0.6333333333333333,0.6,0.6,GCN,2.0
1,0.7666666666666667,0.65,0.6,proposed,2.0
2,0.7666666666666667,0.45,0.65,GCN,6.0
3,0.7333333333333333,0.45,0.65,proposed,6.0
4,0.8333333333333334,0.7,0.45,GCN,4.0
5,0.9666666666666667,0.5,0.45,proposed,4.0
6,0.8,0.6,0.35,GCN,3.0
7,0.9,0.55,0.4,proposed,3.0
8,1.0,0.65,0.55,GCN,3.0
9,1.0,0.65,0.55,proposed,3.0
10,1.0,0.5,0.45,GCN,2.0
11,0.9,0.65,0.5,proposed,2.0
12,0.9,0.65,0.45,GCN,2.0
13,0.9666666666666667,0.65,0.45,proposed,2.0
14,0.9666666666666667,0.5,0.5,GCN,3.0
15,1.0,0.6,0.5,proposed,3.0
16,0.9333333333333333,0.55,0.45,GCN,2.0
17,0.9666666666666667,0.55,0.65,proposed,2.0
18,0.9,0.5,0.4,GCN,1.0
19,0.9666666666666667,0.5,0.4,proposed,1.0
20,0.8666666666666667,0.55,0.55,GCN,4.0
21,0.8333333333333334,0.5,0.55,proposed,4.0
22,0.6333333333333333,0.45,0.65,GCN,1.0
23,0.6666666666666666,0.35,0.55,proposed,1.0
24,0.9,0.5,0.3,GCN,3.0
25,0.9,0.5,0.3,proposed,3.0
26,0.9333333333333333,0.5,0.55,GCN,2.0
27,0.8666666666666667,0.45,0.4,proposed,2.0
28,0.9,0.4,0.3,GCN,2.0
29,0.8333333333333334,0.55,0.3,proposed,2.0
