,train_acc,valid_acc,test_acc,model,n_suprious
0,0.8666666666666667,0.65,0.6,GCN,2.0
1,0.5666666666666667,0.5,0.6,proposed,2.0
2,0.5666666666666667,0.3,0.5,GCN,2.0
3,0.5666666666666667,0.3,0.45,proposed,2.0
4,0.7666666666666667,0.6,0.4,GCN,3.0
5,0.7,0.65,0.5,proposed,3.0
6,0.7666666666666667,0.6,0.55,GCN,2.0
7,0.7333333333333333,0.7,0.55,proposed,2.0
8,0.8666666666666667,0.65,0.35,GCN,3.0
9,0.7,0.5,0.7,proposed,3.0
10,0.5333333333333333,0.6,0.65,GCN,2.0
11,0.7333333333333333,0.55,0.7,proposed,2.0
12,0.9,0.9,0.5,GCN,1.0
13,0.5333333333333333,0.65,0.55,proposed,1.0
14,0.6666666666666666,0.3,0.1,GCN,1.0
15,0.7,0.25,0.1,proposed,1.0
16,0.5333333333333333,0.6,0.55,GCN,1.0
17,0.5,0.6,0.45,proposed,1.0
18,0.9333333333333333,0.6,0.4,GCN,2.0
19,0.8666666666666667,0.6,0.65,proposed,2.0
20,0.6,0.45,0.55,GCN,2.0
21,0.6333333333333333,0.4,0.55,proposed,2.0
22,0.6333333333333333,0.55,0.45,GCN,1.0
23,0.6666666666666666,0.55,0.55,proposed,1.0
24,0.43333333333333335,0.5,0.4,GCN,1.0
25,0.7,0.65,0.6,proposed,1.0
26,0.7333333333333333,0.3,0.35,GCN,2.0
27,0.4666666666666667,0.75,0.45,proposed,2.0
28,0.6333333333333333,0.5,0.55,GCN,1.0
29,0.8333333333333334,0.55,0.55,proposed,1.0
30,0.5666666666666667,0.35,0.4,GCN,1.0
31,0.9,0.8,0.65,proposed,1.0
32,0.4666666666666667,0.4,0.45,GCN,3.0
33,0.8666666666666667,0.45,0.6,proposed,3.0
34,0.9333333333333333,0.55,0.6,GCN,2.0
35,0.7666666666666667,0.4,0.6,proposed,2.0
36,0.8,0.55,0.5,GCN,1.0
37,0.7,0.3,0.5,proposed,1.0
38,0.6333333333333333,0.55,0.45,GCN,3.0
39,0.7333333333333333,0.5,0.55,proposed,3.0
40,0.7666666666666667,0.5,0.65,GCN,1.0
41,0.6,0.55,0.6,proposed,1.0
42,0.5,0.45,0.55,GCN,1.0
43,0.5,0.45,0.55,proposed,1.0
44,0.5333333333333333,0.5,0.7,GCN,2.0
45,0.5333333333333333,0.5,0.45,proposed,2.0
46,0.6,0.45,0.55,GCN,1.0
47,0.6,0.45,0.55,proposed,1.0
48,0.7333333333333333,0.65,0.45,GCN,3.0
49,0.6333333333333333,0.5,0.55,proposed,3.0
50,0.7666666666666667,0.55,0.55,GCN,3.0
51,0.7666666666666667,0.55,0.6,proposed,3.0
52,0.5333333333333333,0.7,0.65,GCN,2.0
53,0.8666666666666667,0.75,0.35,proposed,2.0
54,0.6,0.55,0.65,GCN,2.0
55,0.7666666666666667,0.75,0.65,proposed,2.0
56,0.6,0.4,0.65,GCN,1.0
57,0.6,0.4,0.55,proposed,1.0
58,0.8,0.55,0.6,GCN,4.0
59,0.7333333333333333,0.5,0.5,proposed,4.0
60,0.7666666666666667,0.65,0.75,GCN,1.0
61,0.5333333333333333,0.55,0.75,proposed,1.0
62,0.7666666666666667,0.7,0.7,GCN,1.0
63,0.8333333333333334,0.55,0.7,proposed,1.0
64,0.9,0.55,0.75,GCN,2.0
65,0.8,0.5,0.75,proposed,2.0
66,0.8,0.75,0.4,GCN,1.0
67,0.8,0.65,0.4,proposed,1.0
68,0.6666666666666666,0.55,0.55,GCN,2.0
69,0.7,0.65,0.7,proposed,2.0
70,0.8,0.55,0.25,GCN,1.0
71,0.6666666666666666,0.35,0.75,proposed,1.0
72,0.8333333333333334,0.45,0.7,GCN,3.0
73,0.8666666666666667,0.5,0.7,proposed,3.0
74,0.6666666666666666,0.65,0.7,GCN,3.0
75,0.6666666666666666,0.7,0.35,proposed,3.0
76,0.5333333333333333,0.55,0.5,GCN,2.0
77,0.6666666666666666,0.55,0.7,proposed,2.0
78,0.6666666666666666,0.85,0.55,GCN,2.0
79,0.5333333333333333,0.45,0.45,proposed,2.0
80,0.8,0.6,0.5,GCN,2.0
81,0.7,0.65,0.75,proposed,2.0
82,0.5,0.75,0.4,GCN,2.0
83,0.5,0.75,0.4,proposed,2.0
84,0.8666666666666667,0.65,0.5,GCN,4.0
85,0.7666666666666667,0.5,0.5,proposed,4.0
86,0.7,0.7,0.55,GCN,3.0
87,0.6666666666666666,0.75,0.55,proposed,3.0
88,0.5666666666666667,0.75,0.75,GCN,2.0
89,0.7333333333333333,0.5,0.7,proposed,2.0
90,0.6666666666666666,0.65,0.6,GCN,4.0
91,0.7333333333333333,0.6,0.4,proposed,4.0
92,0.5333333333333333,0.5,0.25,GCN,3.0
93,0.9,0.55,0.25,proposed,3.0
94,0.6,0.65,0.7,GCN,2.0
95,0.6,0.5,0.3,proposed,2.0
96,0.8666666666666667,0.6,0.55,GCN,1.0
97,0.7333333333333333,0.6,0.7,proposed,1.0
98,0.6333333333333333,0.45,0.45,GCN,2.0
99,0.8,0.65,0.45,proposed,2.0
