,train_acc,valid_acc,test_acc,model,n_suprious
0,0.8666666666666667,0.65,0.7,GCN,2.0
1,0.7666666666666667,0.7,0.65,proposed,2.0
2,0.7,0.5,0.65,GCN,1.0
3,0.7,0.55,0.65,proposed,1.0
4,0.6666666666666666,0.3,0.3,GCN,1.0
5,0.6,0.3,0.45,proposed,1.0
6,0.7333333333333333,0.4,0.4,GCN,2.0
7,0.6333333333333333,0.45,0.4,proposed,2.0
8,0.8666666666666667,0.5,0.65,GCN,1.0
9,0.9333333333333333,0.5,0.6,proposed,1.0
10,0.8333333333333334,0.55,0.55,GCN,1.0
11,0.7,0.55,0.55,proposed,1.0
12,0.7,0.55,0.45,GCN,3.0
13,0.7333333333333333,0.55,0.45,proposed,3.0
14,0.5666666666666667,0.35,0.65,GCN,2.0
15,0.6,0.35,0.65,proposed,2.0
16,0.8333333333333334,0.55,0.5,GCN,2.0
17,0.8,0.55,0.6,proposed,2.0
18,0.7666666666666667,0.5,0.4,GCN,3.0
19,0.7666666666666667,0.5,0.6,proposed,3.0
20,0.5666666666666667,0.35,0.45,GCN,1.0
21,0.5333333333333333,0.45,0.45,proposed,1.0
22,0.9333333333333333,0.55,0.55,GCN,3.0
23,0.7666666666666667,0.65,0.7,proposed,3.0
24,0.7666666666666667,0.45,0.9,GCN,5.0
25,0.4666666666666667,0.6,0.9,proposed,5.0
26,0.5666666666666667,0.55,0.6,GCN,3.0
27,0.6,0.65,0.5,proposed,3.0
28,0.8333333333333334,0.6,0.6,GCN,4.0
29,0.6,0.5,0.55,proposed,4.0
30,0.7666666666666667,0.55,0.5,GCN,2.0
31,0.7666666666666667,0.6,0.45,proposed,2.0
32,0.9,0.5,0.65,GCN,1.0
33,0.7666666666666667,0.5,0.65,proposed,1.0
34,0.9666666666666667,0.7,0.55,GCN,2.0
35,0.7333333333333333,0.45,0.5,proposed,2.0
36,0.6333333333333333,0.55,0.65,GCN,2.0
37,0.7333333333333333,0.7,0.65,proposed,2.0
38,0.7333333333333333,0.65,0.6,GCN,2.0
39,0.9,0.6,0.6,proposed,2.0
40,0.6666666666666666,0.45,0.2,GCN,1.0
41,0.6,0.4,0.2,proposed,1.0
42,1.0,0.65,0.45,GCN,3.0
43,0.9666666666666667,0.65,0.45,proposed,3.0
44,0.9333333333333333,0.4,0.55,GCN,2.0
45,0.9,0.4,0.55,proposed,2.0
46,0.7333333333333333,0.5,0.55,GCN,2.0
47,0.8,0.5,0.55,proposed,2.0
48,0.7,0.7,0.3,GCN,2.0
49,0.8333333333333334,0.6,0.3,proposed,2.0
50,0.6,0.6,0.5,GCN,4.0
51,0.6,0.7,0.45,proposed,4.0
52,0.7666666666666667,0.6,0.45,GCN,2.0
53,0.6,0.6,0.45,proposed,2.0
54,0.6666666666666666,0.55,0.4,GCN,3.0
55,0.6,0.45,0.4,proposed,3.0
56,0.9333333333333333,0.8,0.4,GCN,2.0
57,0.9,0.5,0.45,proposed,2.0
58,0.8333333333333334,0.65,0.45,GCN,1.0
59,0.9333333333333333,0.65,0.5,proposed,1.0
60,0.6,0.35,0.3,GCN,1.0
61,0.6666666666666666,0.35,0.3,proposed,1.0
62,0.7,0.45,0.35,GCN,3.0
63,0.7666666666666667,0.45,0.65,proposed,3.0
64,0.9333333333333333,0.8,0.4,GCN,1.0
65,0.7333333333333333,0.8,0.75,proposed,1.0
66,0.6333333333333333,0.4,0.4,GCN,3.0
67,0.7333333333333333,0.45,0.6,proposed,3.0
68,0.8,0.5,0.4,GCN,3.0
69,0.8333333333333334,0.45,0.35,proposed,3.0
70,0.7,0.6,0.7,GCN,1.0
71,0.6333333333333333,0.6,0.7,proposed,1.0
72,0.8333333333333334,0.45,0.55,GCN,1.0
73,0.8666666666666667,0.55,0.65,proposed,1.0
74,0.8666666666666667,0.4,0.65,GCN,2.0
75,0.7,0.5,0.35,proposed,2.0
76,0.9333333333333333,0.55,0.5,GCN,3.0
77,0.9666666666666667,0.55,0.5,proposed,3.0
78,0.5666666666666667,0.45,0.65,GCN,3.0
79,0.5666666666666667,0.5,0.65,proposed,3.0
80,0.7333333333333333,0.5,0.55,GCN,3.0
81,0.7,0.4,0.45,proposed,3.0
82,0.8333333333333334,0.6,0.75,GCN,1.0
83,0.8666666666666667,0.55,0.75,proposed,1.0
84,0.9,0.55,0.6,GCN,4.0
85,0.8666666666666667,0.65,0.6,proposed,4.0
86,0.9333333333333333,0.7,0.6,GCN,5.0
87,0.8333333333333334,0.55,0.6,proposed,5.0
88,0.6333333333333333,0.3,0.55,GCN,3.0
89,0.6666666666666666,0.45,0.55,proposed,3.0
90,0.9333333333333333,0.75,0.5,GCN,1.0
91,0.6333333333333333,0.4,0.7,proposed,1.0
92,0.9666666666666667,0.6,0.45,GCN,3.0
93,1.0,0.55,0.45,proposed,3.0
94,0.7666666666666667,0.6,0.45,GCN,1.0
95,0.7,0.5,0.55,proposed,1.0
96,0.8666666666666667,0.6,0.5,GCN,1.0
97,0.8666666666666667,0.7,0.5,proposed,1.0
98,0.6,0.35,0.4,GCN,2.0
99,0.7666666666666667,0.4,0.8,proposed,2.0
